lineage,1903c111_10m-1,1903c111_10m-2,1903c111_10m-3,1903c117_50m-1,1903c117_50m-2,1903c117_50m-3,1903c118_23m-2,1903c118_23m-3,1903c119_11m-2,1903c119_11m-3,1903c122_28m-1,1903c122_28m-2,1903c122_28m-3,1903c123_10m-1,1903c123_10m-2,1903c123_10m-3,1903c124_15m-1,1903c124_15m-2,1903c124_15m-3,1903c126_45m-1,1903c126_45m-2,1903c126_45m-3,1903c127_7m-1,1903c127_7m-2,1903c127_7m-3,1903c129_26m-1,1903c129_26m-2,1903c129_26m-3,1903c144_13m-2,1903c144_13m-3,Las19c107_10m-1,Las19c107_10m-2,Las19c107_10m-3,Las19c135_5m-1,Las19c135_5m-2,Las19c135_5m-3,Las19c138_27m-1,Las19c138_27m-3
Alveolata;Ciliophora;Litostomatea;Cyclotrichiida;Mesodiniidae;Mesodinium;Mesodinium pulex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
Haptophyta;Haptophyta;Prymnesiophyceae;Isochrysidales;Noelaerhabdaceae;Gephyrocapsa;Gephyrocapsa oceanica,65000.0,59000.0,0.0,62000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,0.0,137000.0,78000.0,0.0,120000.0,77000.0,0.0,114000.0,145000.0,0.0,0.0,0.0,0.0,0.0,125000.0,0.0,0.0,0.0,113000.0,134000.0,0.0,51000.0,0.0,0.0,433000.0,0.0
Haptophyta;Haptophyta;Prymnesiophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis antarctica,564000.0,709000.0,0.0,107000.0,59000.0,100000.0,0.0,0.0,0.0,0.0,465000.0,758000.0,0.0,196000.0,181000.0,0.0,87000.0,125000.0,0.0,219000.0,340000.0,0.0,0.0,0.0,0.0,110000.0,303000.0,0.0,78000.0,0.0,114000.0,70000.0,0.0,0.0,0.0,0.0,547000.0,0.0
Haptophyta;Haptophyta;Prymnesiophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis cordata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73000.0,108000.0,0.0,0.0,0.0,0.0,0.0,107000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179000.0,0.0
Haptophyta;Haptophyta;Prymnesiophyceae;Phaeocystales;Phaeocystacear;Phaeocystis;Phaeocystis sp.,973000.0,1248000.0,0.0,271000.0,210000.0,78000.0,0.0,0.0,0.0,60000.0,477000.0,853000.0,0.0,573000.0,511000.0,0.0,144000.0,200000.0,0.0,747000.0,1063000.0,0.0,61000.0,58000.0,0.0,343000.0,880000.0,0.0,0.0,0.0,370000.0,186000.0,0.0,0.0,0.0,0.0,1074000.0,0.0
Haptophyta;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiaceae;Chrysochromulina;Chrysochromulina brevifilum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96000.0,0.0
Haptophyta;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiaceae;Chrysochromulina;Chrysochromulina ericina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58000.0,0.0,0.0,0.0,0.0,51000.0,86000.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86000.0,0.0
Haptophyta;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiaceae;Chrysochromulina;Chrysochromulina polylepis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61000.0,82000.0,0.0,0.0,0.0,0.0,0.0,73000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148000.0,0.0
Haptophyta;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiaceae;Chrysochromulina;Chrysochromulina rotalis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64000.0,0.0
Haptophyta;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiaceae;Imantonia;Imantonia sp.,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64000.0,0.0,0.0,0.0,0.0,0.0,65000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284000.0,0.0
Opisthokonta;Sarcomastigophora;Zoomastigophora;Choanoflagellida;Acanthoecidae;Acanthoeca-like;Acanthoeca-like sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,0.0
Stramenopila;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Fragilariopsis;Fragilariopsis kerguelensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stramenopila;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66000.0,0.0,0.0,0.0
Stramenopila;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia australis,1001000.0,859000.0,0.0,391000.0,151000.0,0.0,0.0,0.0,286000.0,141000.0,0.0,0.0,0.0,917000.0,808000.0,0.0,1301000.0,650000.0,0.0,0.0,0.0,0.0,125000.0,152000.0,0.0,0.0,0.0,65000.0,65000.0,0.0,241000.0,227000.0,0.0,91000.0,0.0,0.0,0.0,0.0
Stramenopila;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia delicatissima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stramenopila;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia fraudulenta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208000.0,0.0,0.0,0.0,140000.0,104000.0,0.0,64000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,123000.0,0.0,0.0,0.0,0.0,0.0,0.0
Stramenopila;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia heimii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stramenopila;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia pungens,105000.0,123000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85000.0,0.0,0.0,0.0,124000.0,99000.0,0.0,73000.0,74000.0,0.0,0.0,0.0,0.0,60000.0,84000.0,0.0,0.0,0.0,0.0,89000.0,0.0,73000.0,51000.0,0.0,61000.0,53000.0,0.0,0.0,0.0
Stramenopila;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros neogracile,0.0,0.0,0.0,0.0,0.0,54000.0,0.0,0.0,0.0,76000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stramenopila;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stramenopila;Bacillariophyta;Coscinodiscophyceae;Cymatosirales;Cymatosiraceae;Minutocellus;Minutocellus polymorphus,146000.0,118000.0,0.0,69000.0,0.0,654000.0,0.0,0.0,0.0,3042000.0,81000.0,105000.0,0.0,250000.0,201000.0,2949000.0,301000.0,233000.0,0.0,0.0,0.0,643000.0,0.0,0.0,0.0,58000.0,115000.0,1145000.0,0.0,0.0,414000.0,208000.0,0.0,0.0,0.0,2389000.0,301000.0,725000.0
Stramenopila;Bacillariophyta;Coscinodiscophyceae;Lithodesmidales;Lithodesmiaceae;Ditylum;Ditylum brightwellii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stramenopila;Bacillariophyta;Coscinodiscophyceae;Rhizosoleniales;Rhizosoleniaceae;Proboscia;Proboscia inermis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stramenopila;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemaceae;Minutocellus;Minutocellus polymorphus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259000.0,0.0,0.0
Stramenopila;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemaceae;Skeletonema;Skeletonema costatum,88000.0,93000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stramenopila;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemaceae;Skeletonema;Skeletonema japonicum,618000.0,517000.0,0.0,0.0,0.0,0.0,0.0,0.0,59000.0,54000.0,0.0,0.0,0.0,181000.0,143000.0,0.0,97000.0,51000.0,0.0,0.0,0.0,0.0,0.0,64000.0,0.0,0.0,0.0,0.0,0.0,0.0,233000.0,132000.0,0.0,0.0,0.0,0.0,0.0,0.0
Stramenopila;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemaceae;Thalassiosira;Thalassiosira miniscula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stramenopila;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemaceae;Thalassiosira;Thalassiosira oceanica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877000.0,0.0,0.0,0.0,164000.0,97000.0,0.0,107000.0,84000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275000.0,206000.0,0.0,0.0,0.0,0.0,0.0,0.0
Stramenopila;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemaceae;Thalassiosira;Thalassiosira rotula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112000.0,72000.0,0.0,0.0,0.0,0.0,0.0,0.0
Stramenopila;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemaceae;Thalassiosira;Thalassiosira sp.,50000.0,0.0,0.0,52000.0,0.0,91000.0,0.0,0.0,0.0,3451000.0,0.0,0.0,0.0,254000.0,212000.0,0.0,202000.0,184000.0,0.0,0.0,0.0,0.0,79000.0,83000.0,0.0,0.0,0.0,852000.0,114000.0,0.0,433000.0,312000.0,0.0,147000.0,120000.0,0.0,0.0,0.0
Stramenopila;Bacillariophyta;Fragilariophyceae;Fragilariales;Fragilariaceae;Asterionellopsis;Asterionellopsis glacialis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stramenopila;Bacillariophyta;Fragilariophyceae;Thalassionematales;Thalassionemataceae;Thalassionema;Thalassionema nitzschioides,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stramenopila;Ochrophyta;Dictyochophyceae;Dictyochales;Dictyochaceae;Dictyocha;Dictyocha speculum,0.0,0.0,0.0,0.0,0.0,79000.0,0.0,0.0,0.0,108000.0,0.0,0.0,0.0,54000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361000.0,0.0
Stramenopila;Ochrophyta;Dictyochophyceae;Florenciellales;Florenciellales;Florenciella;Florenciella parvula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101000.0,0.0
Stramenopila;Ochrophyta;Dictyochophyceae;Florenciellales;Florenciellales;Florenciella;Florenciella sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69000.0,0.0,0.0,0.0,0.0,58000.0,122000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290000.0,0.0
Stramenopila;Ochrophyta;Dictyochophyceae;Florenciellales;Florenciellalesincertaesedis;Florenciella;Florenciella parvula,261000.0,314000.0,0.0,170000.0,132000.0,142000.0,0.0,0.0,52000.0,83000.0,261000.0,450000.0,0.0,532000.0,430000.0,0.0,71000.0,133000.0,0.0,338000.0,482000.0,0.0,153000.0,131000.0,0.0,548000.0,1238000.0,0.0,126000.0,0.0,295000.0,148000.0,0.0,93000.0,92000.0,0.0,2379000.0,0.0
Stramenopila;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;Pelagomonas;Pelagomonas calceolata,732000.0,1120000.0,0.0,192000.0,103000.0,492000.0,0.0,0.0,0.0,0.0,1271000.0,2693000.0,0.0,181000.0,116000.0,0.0,0.0,0.0,197000.0,6142000.0,7041000.0,0.0,0.0,0.0,0.0,4290000.0,6997000.0,0.0,0.0,0.0,131000.0,0.0,0.0,0.0,0.0,0.0,8450000.0,0.0
Stramenopila;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonodaceae;Aureococcus;Aureococcus anophagefferens,100000.0,123000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123000.0,307000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245000.0,345000.0,0.0,0.0,0.0,0.0,427000.0,1475000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3538000.0,0.0
Stramenopila;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonodaceae;Pelagococcus;Pelagococcus subviridis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51000.0,0.0,0.0,0.0,0.0,0.0,0.0,68000.0,0.0,0.0,0.0,0.0,0.0,72000.0,0.0,0.0,0.0,0.0,67000.0,0.0,0.0,0.0,0.0,247000.0,0.0
Stramenopila;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonodaceae;Pelagomonas;Pelagomonas calceolata,306000.0,439000.0,0.0,96000.0,0.0,175000.0,129000.0,0.0,0.0,0.0,460000.0,1057000.0,0.0,80000.0,0.0,0.0,0.0,0.0,62000.0,3316000.0,4087000.0,51000.0,0.0,0.0,0.0,2072000.0,4001000.0,0.0,0.0,0.0,234000.0,113000.0,0.0,0.0,0.0,0.0,4681000.0,83000.0
Stramenopila;Ochrophyta;Pelagophyceae;unassigned;Unknown;Unidentifiedeukaryote;Unidentifiedeukaryote sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59000.0,0.0,0.0,0.0,0.0,0.0,94000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201000.0,0.0
Stramenopila;Ochrophyta;Pinguiophyceae;Pinguiochrysidales;Pinguiochrysidaceae;Phaeomonas;Phaeomonas parva,0.0,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,0.0
Stramenopila;Ochrophyta;Raphidophyceae;Chattonellales;Chattonellaceae;Heterosigma;Heterosigma akashiwo,0.0,63000.0,0.0,223000.0,123000.0,83000.0,0.0,0.0,66000.0,251000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121000.0,101000.0,0.0,0.0,53000.0,0.0,216000.0,198000.0,0.0,0.0,0.0,275000.0,224000.0,621000.0,72000.0,94000.0
Unknown;Unknown;Unknown;Unknown;Unknown;Unidentifiedeukaryote;Unidentifiedeukaryote sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104000.0,0.0
Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos,88000.0,79000.0,0.0,0.0,0.0,93000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107000.0,183000.0,187000.0,0.0,0.0,0.0,0.0,73000.0,75000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1940000.0,0.0
Viridiplantae;Chlorophyta;Prasinophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos,1818000.0,1651000.0,0.0,695000.0,242000.0,4643000.0,120000.0,0.0,155000.0,60000.0,1503000.0,1995000.0,0.0,712000.0,557000.0,0.0,313000.0,325000.0,1625000.0,2602000.0,2851000.0,186000.0,169000.0,147000.0,0.0,5240000.0,5658000.0,0.0,219000.0,0.0,2105000.0,992000.0,0.0,0.0,0.0,0.0,11587000.0,768000.0
Viridiplantae;Chlorophyta;Prasinophyceae;Mamiellales;Mamiellaceae;Bathycoccus;Bathycoccus prasinos,165000.0,167000.0,0.0,64000.0,0.0,420000.0,0.0,0.0,0.0,0.0,141000.0,141000.0,0.0,69000.0,0.0,0.0,0.0,0.0,138000.0,211000.0,223000.0,0.0,0.0,0.0,0.0,464000.0,463000.0,0.0,0.0,0.0,218000.0,88000.0,0.0,220000.0,144000.0,0.0,1253000.0,66000.0
Viridiplantae;Chlorophyta;Prasinophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla,62000.0,236000.0,0.0,157000.0,0.0,0.0,0.0,0.0,66000.0,0.0,60000.0,296000.0,0.0,206000.0,0.0,0.0,53000.0,0.0,0.0,210000.0,397000.0,0.0,1106000.0,791000.0,0.0,628000.0,1684000.0,0.0,384000.0,0.0,285000.0,161000.0,0.0,162000.0,124000.0,0.0,1426000.0,0.0
