,Domain,Phylum,Class,Order,Family,Genus,Species
TAX_49,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535
TAX_50,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp902514095
TAX_51,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA8438,DTWD01,DTWD01 sp012963185
TAX_52,Bacteria,Actinobacteria,Actinobacteria_X,Frankiales,Frankiaceae,Frankia,Frankia CN3
TAX_53,Bacteria,Actinobacteria,Actinobacteria_X,Frankiales,Frankiaceae,Frankia,Frankia EAN1pec
TAX_54,Bacteria,Actinobacteria,Actinobacteria_X,Frankiales,Frankiaceae,Frankia,Frankia EUN1f
TAX_55,Bacteria,Actinobacteria,Actinobacteria_X,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium 5_U_42AFAA
TAX_56,Bacteria,Actinobacteria,Actinobacteria_X,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces clavuligerus ATCC 27064
TAX_57,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino5,Casp-actino5 sp012269985
TAX_58,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter_A,Ilumatobacter_A sp002711735
TAX_59,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter_A,Ilumatobacter_A sp018666235
TAX_60,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter_A,Ilumatobacter_A sp905480335
TAX_61,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp000817085
TAX_62,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp002729765
TAX_63,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,MedAcidi-G1,MedAcidi-G2B,MedAcidi-G2B sp000817115
TAX_64,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,MedAcidi-G1,MedAcidi-G2B,MedAcidi-G2B sp902634555
TAX_65,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,MedAcidi-G1,UBA9410,UBA9410 sp003541675
TAX_66,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,MedAcidi-G1,UBA9410,UBA9410 sp014237715
TAX_67,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,TK06,MedAcidi-G3,MedAcidi-G3 sp000817105
TAX_68,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,TK06,UBA2110,UBA2110 sp014239555
TAX_69,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,TK06,UBA9040,UBA9040 sp002731665
TAX_70,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,TK06,UBA9040,UBA9040 sp905477545
TAX_71,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA10347,UBA10347,UBA10347 sp003485885
TAX_72,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA11606,UBA11606,UBA11606 sp002729125
TAX_73,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA11606,UBA11606,UBA11606 sp018699415
TAX_74,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA11606,UBA11606,UBA11606 sp905480195
TAX_75,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8592,UBA8592,UBA8592 sp002171605
TAX_76,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8592,UBA8592,UBA8592 sp002341185
TAX_77,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8592,UBA8592,UBA8592 sp002703045
TAX_78,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8592,UBA8592,UBA8592 sp002709645
TAX_79,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Actinomarina,Actinomarina sp002308095
TAX_80,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Actinomarina,Actinomarina sp002683085
TAX_81,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Actinomarina,Actinomarina sp014239265
TAX_82,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Actinomarina,Actinomarina sp014384285
TAX_83,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Kineosporiaceae,R-H-3,R-H-3 sp002198675
TAX_84,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Quadrisphaeraceae,Quadrisphaera,Quadrisphaera sp902806005
TAX_85,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,CADCTP01,CADCTP01,CADCTP01 sp902805565
TAX_86,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Frankiaceae,Frankia,Frankia sp016786325
TAX_87,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Actinoplanes,Actinoplanes liguriensis
TAX_88,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Dactylosporangium,Dactylosporangium aurantiacum
TAX_89,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Dactylosporangium,Dactylosporangium sucinum
TAX_90,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Virgisporangium,Virgisporangium aurantiacum
TAX_91,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Actinomycetospora,Actinomycetospora sp902805495
TAX_92,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Actinosynnema,Actinosynnema syringae
TAX_93,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia kunmingensis
TAX_94,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,SCTD01,SCTD01,SCTD01 sp902805775
TAX_95,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,GCA-2699445,GCA-2699445,GCA-2699445 sp002699445
TAX_96,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,S36-B12,S36-B12,S36-B12 sp002729215
TAX_97,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Catenulisporaceae,Catenulispora,Catenulispora rubra
TAX_98,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Embleya,Embleya hyalina
TAX_99,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Kitasatospora,Kitasatospora herbaricolor
TAX_100,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Kitasatospora,Kitasatospora purpeofusca
TAX_101,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces altiplanensis
TAX_102,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces huasconensis
TAX_103,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces philanthi
TAX_104,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002797655
TAX_105,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp003949805
TAX_106,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp016893485
TAX_107,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger
TAX_108,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces yanglinensis
TAX_109,Bacteria,Actinobacteriota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea sp008086045
TAX_110,Bacteria,Actinobacteriota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea sp013283785
TAX_111,Bacteria,Actinobacteriota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Spirillospora,Spirillospora kijaniata
TAX_112,Bacteria,Actinobacteriota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Spirillospora,Spirillospora sp009793335
TAX_113,Bacteria,Actinobacteriota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Thermocatellispora,Thermocatellispora tengchongensis
TAX_114,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,CADCVT01,CADCVT01 sp902806215
TAX_115,Bacteria,Bacteroidetes/Chlorobi group,Cytophagia,Cytophagales,Cytophagaceae,Runella,Runella slithyformis DSM 19594
TAX_116,Bacteria,Bacteroidetes/Chlorobi group,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,Leeuwenhoekiella blandensis MED217
TAX_117,Bacteria,Bacteroidetes/Chlorobi group,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Zunongwangia,Zunongwangia profunda SM-A87
TAX_118,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,AM-2324,AM-2324 sp900299495
TAX_119,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira,Aureispira sp905480485
TAX_120,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,UBA1994,UBA1994 sp002335865
TAX_121,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,UBA8649,JAFMKE01,JAFMKE01 sp016777395
TAX_122,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,UBA4465,UBA4465 sp002292365
TAX_123,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,UBA4465,UBA4465 sp002470835
TAX_124,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,UBA4465,UBA4465 sp905182375
TAX_125,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,MED-G16,MED-G16,MED-G16 sp002457315
TAX_126,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,MED-G16,MED-G16,MED-G16 sp002696995
TAX_127,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,BACL11,GCA-002697625,GCA-002697625 sp018695965
TAX_128,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,BACL11,GCA-002697625,GCA-002697625 sp902514225
TAX_129,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,BACL11,GCA-002715885,GCA-002715885 sp002689735
TAX_130,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,BACL11,GCA-2683775,GCA-2683775 sp018652335
TAX_131,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,BACL11,UWMA-0277,UWMA-0277 sp905478185
TAX_132,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,BACL11,UWMA-0277,UWMA-0277 sp905478765
TAX_133,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,UBA4466 sp905182335
TAX_134,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA952,UBA952 sp002167775
TAX_135,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA952,UBA952 sp002480215
TAX_136,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA952,UBA952 sp002683585
TAX_137,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA952,UBA952 sp002696025
TAX_138,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA952,UBA952 sp018665005
TAX_139,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,CAJQLB01,CAJQLB01 sp905479065
TAX_140,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavicella,Flavicella sp002477565
TAX_141,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002723295,GCA-002723295 sp002690805
TAX_142,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002733185,GCA-002733185 sp002713705
TAX_143,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002733185,GCA-002733185 sp004213605
TAX_144,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002733185,GCA-002733185 sp004214175
TAX_145,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002733185,GCA-002733185 sp905181835
TAX_146,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-2700405,GCA-2700405 sp004213965
TAX_147,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-2700405,GCA-2700405 sp014239895
TAX_148,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-2700405,GCA-2700405 sp902512065
TAX_149,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-2719315,GCA-2719315 sp002719315
TAX_150,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-2733415,GCA-2733415 sp013214625
TAX_151,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA001735715,GCA001735715 sp001735715
TAX_152,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Gramella,Gramella sp006714895
TAX_153,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,Hel1-33-131 sp018608705
TAX_154,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,Hel1-33-131 sp018608725
TAX_155,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,Hel1-33-131 sp018608765
TAX_156,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,Hel1-33-131 sp905181825
TAX_157,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,Leeuwenhoekiella aequorea
TAX_158,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MAG-121220-bin8,MAG-121220-bin8 sp003331265
TAX_159,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MAG-121220-bin8,MAG-121220-bin8 sp014239275
TAX_160,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MAG-121220-bin8,MAG-121220-bin8 sp018662905
TAX_161,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MAG-121220-bin8,MAG-121220-bin8 sp902559035
TAX_162,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MAG-121220-bin8,MAG-121220-bin8 sp905479415
TAX_163,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,MED-G11 sp002729755
TAX_164,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,MED-G11 sp004214015
TAX_165,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,MED-G11 sp014239615
TAX_166,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,MED-G11 sp014239665
TAX_167,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,MED-G11 sp902509805
TAX_168,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G13,MED-G13 sp002697255
TAX_169,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G13,MED-G13 sp902509675
TAX_170,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G13,MED-G13 sp902557655
TAX_171,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G14,MED-G14 sp902595555
TAX_172,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Mesonia,Mesonia algae
TAX_173,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Mesonia,Mesonia aquimarina
TAX_174,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,MS024-2A sp000173095
TAX_175,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,MS024-2A sp002167945
TAX_176,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,MS024-2A sp009886625
TAX_177,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,MS024-2A sp017852075
TAX_178,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,MS024-2A sp902517245
TAX_179,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,MS024-2A sp905480425
TAX_180,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Patiriisocius,Patiriisocius sp018656255
TAX_181,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Patiriisocius,Patiriisocius sp905182755
TAX_182,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter porphyrae
TAX_183,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter reichenbachii
TAX_184,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter sp000766795
TAX_185,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter sp002163675
TAX_186,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter sp018608545
TAX_187,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter sp018663625
TAX_188,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter sp900106075
TAX_189,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter vadi_A
TAX_190,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Psychroserpens,Psychroserpens luteus
TAX_191,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Psychroserpens,Psychroserpens sp905479815
TAX_192,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Salegentibacter,Salegentibacter agarivorans
TAX_193,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Salegentibacter,Salegentibacter mishustinae
TAX_194,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SCGC-AAA160-P02,SCGC-AAA160-P02 sp000383355
TAX_195,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SCGC-AAA160-P02,SCGC-AAA160-P02 sp015665265
TAX_196,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SCGC-AAA160-P02,SCGC-AAA160-P02 sp018608485
TAX_197,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SCGC-AAA160-P02,SCGC-AAA160-P02 sp905479435
TAX_198,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SGZJ01,SGZJ01 sp004213995
TAX_199,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SGZJ01,SGZJ01 sp018674025
TAX_200,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SGZJ01,SGZJ01 sp902515565
TAX_201,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Tenacibaculum sp002954385
